prolific_id,pilot_paradigm,counterbalancing,query_stimulus,ref_left_stimulus,ref_right_stimulus,ref_left_y_offset,ref_right_y_offset,rt,response,trial_stage,trial_index,time_elapsed,session,correct,correct_response,query_item,ref_left,ref_right,dist_query_ref_left,dist_query_ref_right,dist_ref_left_ref_right,abs_dist_query_ref_left,abs_dist_query_ref_right,abs_dist_ref_left_ref_right,triplet_left_right_name,ref_lowdim,ref_highdim,dist_query_ref_lowdim,dist_query_ref_highdim,dist_ref_lowdim_ref_highdim,dist_abs_query_ref_lowdim,dist_abs_query_ref_highdim,dist_abs_ref_lowdim_ref_highdim,triplet_unique_name,template_distances,template_abs_distances,triplet_rep,template_distances_rep,template_abs_distances_rep,triplet_easiness,query_position,chosen_ref_value,chosen_ref_lowdim_highdim,chose_towards_sparse_python,chosen_ref_numerics,correct_ref_lowdim_highdim,correct_ref_left_right,correct_numeric,triplet_location,correct_ref_towards_dense_sparse,chose_towards_sparse,chose_towards_highdim
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,0,0,1520.79999999702,p,pre_exposure,4,11303,2,TRUE,p,54,30,70,24,-16,-40,24,16,40,54_30_70,30,70,24,-16,-40,24,16,40,54_30_70,24_-16_-40,16_24_40,2,6,10,8,query_middle,70,ref_highdim,0,2,ref_highdim,ref_right,1,sparse_region,ref_towards_dense,0,1
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,875.899999991059,p,pre_exposure,5,13831,2,,"",46,62,30,-16,16,32,16,16,32,46_62_30,30,62,16,-16,-32,16,16,32,46_30_62,16_-16_-32,16_16_32,1,4,4,0,query_middle,30,ref_lowdim,1,1,,nan,,sparse_region,nan,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,860.400000005961,p,pre_exposure,6,16351,2,TRUE,p,70,54,78,16,-8,-24,16,8,24,70_54_78,54,78,16,-8,-24,16,8,24,70_54_78,16_-8_-24,8_16_24,2,5,7,8,query_middle,78,ref_highdim,0,2,ref_highdim,ref_right,1,across_density_regions,ref_towards_dense,0,1
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,0,0,1252.90000000596,q,pre_exposure,7,18863,2,,"",86,110,62,-24,24,48,24,24,48,86_110_62,62,110,24,-24,-48,24,24,48,86_62_110,24_-24_-48,24_24_48,2,3,3,0,query_middle,110,ref_highdim,0,2,,nan,,dense_region,nan,0,1
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,0,0,1469.29999999702,q,pre_exposure,8,21383,2,FALSE,p,46,30,54,16,-8,-24,16,8,24,46_30_54,30,54,16,-8,-24,16,8,24,46_30_54,16_-8_-24,8_16_24,2,6,8,8,query_middle,30,ref_lowdim,1,1,ref_highdim,ref_right,0,sparse_region,ref_towards_dense,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1324.29999999702,q,pre_exposure,9,23908,2,TRUE,q,86,78,110,8,-24,-32,8,24,32,86_78_110,78,110,8,-24,-32,8,24,32,86_78_110,8_-24_-32,8_24_32,2,5,8,16,query_middle,78,ref_lowdim,1,1,ref_lowdim,ref_left,1,dense_region,ref_towards_sparse,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1519.90000000596,p,pre_exposure,10,26437,2,,"",102,94,110,8,-8,-16,8,8,16,102_94_110,94,110,8,-8,-16,8,8,16,102_94_110,8_-8_-16,8_8_16,2,4,4,0,query_middle,110,ref_highdim,0,2,,nan,,dense_region,nan,0,1
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1455.5,p,pre_exposure,11,28956,2,,"",38,46,30,-8,8,16,8,8,16,38_46_30,30,46,8,-8,-16,8,8,16,38_30_46,8_-8_-16,8_8_16,1,5,5,0,query_middle,30,ref_lowdim,1,1,,nan,,sparse_region,nan,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,1936.5,q,pre_exposure,12,31460,2,,"",54,30,78,24,-24,-48,24,24,48,54_30_78,30,78,24,-24,-48,24,24,48,54_30_78,24_-24_-48,24_24_48,1,4,4,0,query_middle,30,ref_lowdim,1,1,,nan,,sparse_region,nan,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,0,0,1006.5,p,pre_exposure,13,33971,2,TRUE,p,70,86,62,-16,8,24,16,8,24,70_86_62,62,86,8,-16,-24,8,16,24,70_62_86,8_-16_-24,8_16_24,1,3,9,8,query_middle,62,ref_lowdim,1,1,ref_lowdim,ref_right,1,across_density_regions,ref_towards_sparse,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,0,0,1456.89999999106,p,pre_exposure,14,36482,2,TRUE,p,54,30,62,24,-8,-32,24,8,32,54_30_62,30,62,24,-8,-32,24,8,32,54_30_62,24_-8_-32,8_24_32,1,4,9,16,query_middle,62,ref_highdim,0,2,ref_highdim,ref_right,1,sparse_region,ref_towards_dense,0,1
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,0,0,1385.90000000596,q,pre_exposure,15,38986,2,,"",46,30,62,16,-16,-32,16,16,32,46_30_62,30,62,16,-16,-32,16,16,32,46_30_62,16_-16_-32,16_16_32,2,5,5,0,query_middle,30,ref_lowdim,1,1,,nan,,sparse_region,nan,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,1577.60000000894,q,pre_exposure,16,41489,2,,"",38,30,46,8,-8,-16,8,8,16,38_30_46,30,46,8,-8,-16,8,8,16,38_30_46,8_-8_-16,8_8_16,2,6,6,0,query_middle,30,ref_lowdim,1,1,,nan,,sparse_region,nan,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,1145.89999999106,q,pre_exposure,17,43994,2,TRUE,q,70,62,86,8,-16,-24,8,16,24,70_62_86,62,86,8,-16,-24,8,16,24,70_62_86,8_-16_-24,8_16_24,2,4,10,8,query_middle,62,ref_lowdim,1,1,ref_lowdim,ref_left,1,across_density_regions,ref_towards_sparse,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1506,p,pre_exposure,18,46498,2,TRUE,p,46,70,30,-24,16,40,24,16,40,46_70_30,30,70,16,-24,-40,16,24,40,46_30_70,16_-24_-40,16_24_40,2,5,11,8,query_middle,30,ref_lowdim,1,1,ref_lowdim,ref_right,1,sparse_region,ref_towards_sparse,1,0
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1225.40000000596,q,pre_exposure,19,49002,2,TRUE,q,54,62,30,-8,24,32,8,24,32,54_62_30,30,62,24,-8,-32,24,8,32,54_30_62,24_-8_-32,8_24_32,2,5,10,16,query_middle,62,ref_highdim,0,2,ref_highdim,ref_left,1,sparse_region,ref_towards_dense,0,1
sub_17,2,dense_right,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,0,0,897.900000005961,p,pre_exposure,20,51514,2,TRUE,p,70,94,54,-24,16,40,24,16,40,70_94_54,54,94,16,-24,-40,16,24,40,70_54_94,16_-24_-40,16_24_40,2,6,12,8,query_middle,54,ref_lowdim,1,1,ref_lowdim,ref_right,1,across_density_regions,ref_towards_sparse,1,0
