which_experiment,counterbalancing,prolific_id,page_index,viewing_time
pilot_3,dense_left,sub052,0,7533.899999976158
pilot_3,dense_left,sub052,1,46293.19999998808
pilot_3,dense_left,sub052,2,16927.100000023842
pilot_3,dense_right,sub053,0,14131.0
pilot_3,dense_right,sub053,1,62071.39999997616
pilot_3,dense_right,sub053,2,59038.200000047684
pilot_3,dense_right,sub054,0,6359.5
pilot_3,dense_right,sub054,1,38090.10000014305
pilot_3,dense_right,sub054,2,15171.099999904633
pilot_3,dense_right,sub055,0,3454.599999964237
pilot_3,dense_right,sub055,1,17294.900000035763
pilot_3,dense_right,sub055,2,2472.0
pilot_3,dense_right,sub056,0,2087.5
pilot_3,dense_right,sub056,1,24580.89999999851
pilot_3,dense_right,sub056,2,6942.10000000149
pilot_3,dense_left,sub057,0,30319.699999999255
pilot_3,dense_left,sub057,1,337395.0
pilot_3,dense_left,sub057,2,187301.8999999985
pilot_3,dense_right,sub059,0,3708.0
pilot_3,dense_right,sub059,1,56503.79999999702
pilot_3,dense_right,sub059,2,10888.0
pilot_3,dense_right,sub061,0,1508.0
pilot_3,dense_right,sub061,1,47687.0
pilot_3,dense_right,sub061,2,2073.0
pilot_3,dense_left,sub062,0,4075.199999988079
pilot_3,dense_left,sub062,1,47356.5
pilot_3,dense_left,sub062,2,11855.800000011921
pilot_3,dense_left,sub063,0,4242.5
pilot_3,dense_left,sub063,1,33530.69999998808
pilot_3,dense_left,sub063,2,13464.899999976158
pilot_3,dense_right,sub064,0,1513.6000000014901
pilot_3,dense_right,sub064,1,97234.5
pilot_3,dense_right,sub064,2,2089.60000000149
pilot_3,dense_right,sub065,0,3561.300000011921
pilot_3,dense_right,sub065,1,161901.5
pilot_3,dense_right,sub065,2,4758.699999988079
pilot_3,dense_right,sub066,0,1062.6000000238419
pilot_3,dense_right,sub066,1,7900.199999988079
pilot_3,dense_right,sub066,2,4243.899999976158
pilot_3,dense_left,sub067,0,16962.5
pilot_3,dense_left,sub067,1,69948.30000001192
pilot_3,dense_left,sub067,2,22386.0
pilot_3,dense_right,sub068,0,3559.0
pilot_3,dense_right,sub068,1,144693.30000001192
pilot_3,dense_right,sub068,2,15960.199999988079
pilot_3,dense_left,sub069,0,3988.0
pilot_3,dense_left,sub069,1,120242.79999999702
pilot_3,dense_left,sub069,2,4135.5
pilot_3,dense_left,sub071,0,2269.0999999046326
pilot_3,dense_left,sub071,1,21050.200000047684
pilot_3,dense_left,sub071,2,3930.7000000476837
experiment_1,dense_left,sub074,0,3921.0
experiment_1,dense_left,sub074,1,51880.0
experiment_1,dense_left,sub074,2,13791.799999952316
experiment_1,dense_right,sub075,0,4455.299999952316
experiment_1,dense_right,sub075,1,32273.30000001192
experiment_1,dense_right,sub075,2,1921.9000000357628
experiment_1,dense_right,sub076,0,7720.100000000559
experiment_1,dense_right,sub076,1,39240.5
experiment_1,dense_right,sub076,2,13468.099999999627
experiment_1,dense_left,sub077,0,5805.09999999986
experiment_1,dense_left,sub077,1,38150.30000000005
experiment_1,dense_left,sub077,2,16375.699999999953
experiment_1,dense_right,sub078,0,12518.299999952316
experiment_1,dense_right,sub078,1,78753.5
experiment_1,dense_right,sub078,2,39823.10000002384
experiment_1,dense_left,sub079,0,5710.0
experiment_1,dense_left,sub079,1,39224.0
experiment_1,dense_left,sub079,2,20961.0
experiment_1,dense_right,sub080,0,3637.3999996185303
experiment_1,dense_right,sub080,1,35086.400000572205
