prolific_id,counterbalancing,query_stimulus,ref_left_stimulus,ref_right_stimulus,ref_left_y_offset,ref_right_y_offset,rt,response,trial_stage,trial_index,time_elapsed,session,correct,correct_response,query_item,ref_left,ref_right,dist_query_ref_left,dist_query_ref_right,dist_ref_left_ref_right,abs_dist_query_ref_left,abs_dist_query_ref_right,abs_dist_ref_left_ref_right,triplet_left_right_name,ref_lowdim,ref_highdim,dist_query_ref_lowdim,dist_query_ref_highdim,dist_ref_lowdim_ref_highdim,dist_abs_query_ref_lowdim,dist_abs_query_ref_highdim,dist_abs_ref_lowdim_ref_highdim,triplet_unique_name,template_distances,template_abs_distances,triplet_rep,template_distances_rep,template_abs_distances_rep,triplet_easiness,query_position,chosen_ref_value,chosen_ref_lowdim_highdim,correct_ref_lowdim_highdim,correct_ref_left_right,correct_numeric,triplet_location,correct_ref_towards_dense_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,1431.2000000476837,q,pre_exposure,12,30973,1,True,q,70,86,46,-16,24,40,16,24,40,70_86_46,46,86,24,-16,-40,24,16,40,70_46_86,24_-16_-40,16_24_40,1,2,2,8,query_middle,86.0,ref_highdim,ref_highdim,ref_left,1.0,across_density_regions,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1046.5,p,pre_exposure,13,33480,1,True,p,46,70,30,-24,16,40,24,16,40,46_70_30,30,70,16,-24,-40,16,24,40,46_30_70,16_-24_-40,16_24_40,1,1,3,8,query_middle,30.0,ref_lowdim,ref_lowdim,ref_right,1.0,dense_region,ref_towards_dense
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,1321.300000011921,p,pre_exposure,14,35986,1,,,70,94,46,-24,24,48,24,24,48,70_94_46,46,94,24,-24,-48,24,24,48,70_46_94,24_-24_-48,24_24_48,1,2,2,0,query_middle,46.0,ref_lowdim,nan,nan,,across_density_regions,nan
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,0,0,1661.8999999761581,q,pre_exposure,15,38492,1,True,q,94,86,118,8,-24,-32,8,24,32,94_86_118,86,118,8,-24,-32,8,24,32,94_86_118,8_-24_-32,8_24_32,1,3,4,16,query_middle,86.0,ref_lowdim,ref_lowdim,ref_left,1.0,sparse_region,ref_towards_dense
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,1188.1000000238419,p,pre_exposure,16,40999,1,False,q,70,62,86,8,-16,-24,8,16,24,70_62_86,62,86,8,-16,-24,8,16,24,70_62_86,8_-16_-24,8_16_24,1,3,5,8,query_middle,86.0,ref_highdim,ref_lowdim,ref_left,0.0,across_density_regions,ref_towards_dense
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,0,0,937.1999999880791,p,pre_exposure,17,43506,1,True,p,110,86,118,24,-8,-32,24,8,32,110_86_118,86,118,24,-8,-32,24,8,32,110_86_118,24_-8_-32,8_24_32,1,2,5,16,query_middle,118.0,ref_highdim,ref_highdim,ref_right,1.0,sparse_region,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,0,0,1626.0999999642372,q,pre_exposure,18,46013,1,,,70,86,54,-16,16,32,16,16,32,70_86_54,54,86,16,-16,-32,16,16,32,70_54_86,16_-16_-32,16_16_32,1,2,2,0,query_middle,86.0,ref_highdim,nan,nan,,across_density_regions,nan
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,948.1999999880791,q,pre_exposure,19,48519,1,True,q,54,70,30,-16,24,40,16,24,40,54_70_30,30,70,24,-16,-40,24,16,40,54_30_70,24_-16_-40,16_24_40,2,3,4,8,query_middle,70.0,ref_highdim,ref_highdim,ref_left,1.0,dense_region,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level69F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,0,0,1258.6000000238419,p,pre_exposure,20,51026,1,True,p,70,94,54,-24,16,40,24,16,40,70_94_54,54,94,16,-24,-40,16,24,40,70_54_94,16_-24_-40,16_24_40,1,2,5,8,query_middle,54.0,ref_lowdim,ref_lowdim,ref_right,1.0,across_density_regions,ref_towards_dense
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,1145.800000011921,p,pre_exposure,21,53533,1,True,p,94,118,86,-24,8,32,24,8,32,94_118_86,86,118,8,-24,-32,8,24,32,94_86_118,8_-24_-32,8_24_32,2,4,6,16,query_middle,86.0,ref_lowdim,ref_lowdim,ref_right,1.0,sparse_region,ref_towards_dense
